,name,mission_area,science_topic,date,lat_n,lon_w,lat_s,lon_e,visits
109,orchestrate revolutionary action-items,Energy and Minerals,Wildlife Disease,1999-10-25,41.8542,-87.66561,35.84124256510076,-73.24803518068865,352
110,scale clicks-and-mortar e-markets,Energy and Minerals,Wildlife Disease,1999-08-16,42.4251,-71.06616,29.336224708022897,-62.229708530934374,352
111,embrace viral schemas,Land Resources,Aquatic Biology,2006-05-29,36.06523,-119.01677,21.48745415795642,-108.28701902078963,53
112,streamline strategic functionalities,Water Resources,Energy Resources,2018-09-30,39.32288,-76.72803,39.25148085351891,-69.6157432892686,494
113,benchmark magnetic convergence,Natural Hazards,Climatology,2015-08-21,26.68451,-80.66756,19.24129841143808,-76.1448617182972,439
114,whiteboard web-enabled schemas,Environmental Health,Forestry,2019-04-25,35.88264,-80.08199,16.553826871307873,-61.98140012244113,465
115,empower integrated applications,Land Resources,Wildlife Biology,1988-03-16,40.34912,-111.90466,26.19826417893711,-99.3538972850669,198
116,productize 24/365 supply-chains,Environmental Health,Land Use Change,1979-12-21,33.08014,-83.2321,29.21817721425262,-79.44187919478962,12
117,grow distributed models,Regional Offices,Mineral Resources,1977-06-06,41.6764,-91.58045,33.919484192235174,-91.56765828889912,417
118,repurpose out-of-the-box e-tailers,Ecosystems,Seismology,2015-05-12,32.9156,-117.14392,27.7405278831273,-116.13197197380414,328
119,synthesize plug-and-play initiatives,Ecosystems,Genetics,1972-03-29,36.61033,-88.31476,20.79215466296214,-77.65944243051098,45
120,re-intermediate next-generation architectures,Energy and Minerals,Information Sciences,1984-01-01,33.95015,-118.03917,18.69932312522048,-110.55264334733623,414
121,deliver efficient e-markets,Energy and Minerals,Ecology,2006-06-22,42.93369,-72.27814,23.514324397531343,-64.87034829367384,51
122,exploit cutting-edge architectures,Regional Offices,Environmental Health,1984-02-14,43.1009,-75.23266,38.01391105202586,-56.767328171475825,380
123,revolutionize turn-key e-business,Ecosystems,Genetics,1993-11-22,38.91817,-78.19444,29.692266483335942,-66.0475850677606,74
124,unleash virtual methodologies,Natural Hazards,Volcanology,1995-06-19,40.34912,-111.90466,26.184036936504086,-99.08734131558992,42
125,seize customized content,Ecosystems,Soil Sciences,1973-01-18,39.32288,-76.72803,33.777697108700835,-64.88395637776158,383
126,iterate 24/365 eyeballs,Regional Offices,Genetics,2006-07-29,41.80753,-87.65644,27.493993346963464,-78.87035499526021,108
127,matrix holistic partnerships,Land Resources,Information Sciences,1988-07-09,32.44874,-99.73314,20.11772660879388,-92.08942903614351,110
128,e-enable cross-media ROI,Environmental Health,Land Use Change,1979-02-10,47.38093,-122.23484,29.58993386321293,-119.82990983461107,231
129,maximize enterprise solutions,Natural Hazards,Mineral Resources,1993-08-11,46.09273,-88.64235,31.19758393511814,-82.91225753898692,42
130,embrace visionary mindshare,Ecosystems,Planetary Sciences,1986-08-19,29.53885,-95.44744,10.215356241813197,-88.83160574301522,400
131,evolve B2B e-commerce,Energy and Minerals,Seismology,2014-10-23,34.14251,-118.25508,16.24356971646989,-107.49967939975916,292
132,grow B2C deliverables,Natural Hazards,Mineral Resources,1977-10-20,26.68451,-80.66756,20.22112026407543,-62.30754760109615,368
133,synthesize robust metrics,Ecosystems,Hydrology,1997-11-26,34.06635,-84.67837,23.598343152249257,-66.87735489492178,394
134,expedite one-to-one networks,Water Resources,Aquatic Biology,2002-01-30,43.1009,-75.23266,23.420100024511907,-63.23110504301246,387
135,embrace cutting-edge markets,Ecosystems,Information Sciences,1985-01-24,39.72943,-104.83192,39.56924063548459,-97.69150452281725,85
136,deploy user-centric methodologies,Regional Offices,Geomorphology,2019-02-04,41.85059,-87.882,38.10444064148501,-72.60108112953232,61
137,enhance cross-media systems,Ecosystems,Genetics,1984-09-23,40.60538,-73.75513,20.685319778073904,-63.58039408714204,62
138,deploy world-class content,Environmental Health,Forestry,1986-01-11,34.25628,-78.04471,18.31450090119918,-63.071356931709346,226
139,syndicate cross-platform applications,Regional Offices,Marine Geology,1976-03-18,39.57582,-105.11221,35.80421535176087,-101.03643079782182,47
140,strategize vertical eyeballs,Core Sience Systems,Volcanology,1990-04-21,31.12406,-97.90308,26.355899453108456,-82.66756925146896,293
141,streamline collaborative e-services,Land Resources,Volcanology,1989-09-22,40.67705,-73.89125,27.064800915328338,-63.69443524437083,51
142,architect front-end mindshare,Energy and Minerals,Land Use Change,1998-04-22,31.84568,-102.36764,15.642162176395466,-86.80712155949264,162
143,generate cross-platform channels,Ecosystems,Geochemistry,1979-03-26,33.45122,-86.99666,28.58777577130561,-86.16677019686252,346
144,unleash cross-media initiatives,Land Resources,Remote Sensing,2015-02-18,33.72255,-116.37697,26.710590925895097,-115.84889648813127,374
145,scale real-time e-services,Ecosystems,Mineral Resources,1991-11-30,30.5427,-97.54667,29.37153385551376,-79.86100300174843,165
146,re-contextualize distributed e-tailers,Environmental Health,Land Use Change,1977-08-21,40.34912,-111.90466,23.491291153001985,-105.445673084997,479
147,evolve intuitive infrastructures,Energy and Minerals,Hydrology,1977-01-08,47.38093,-122.23484,32.21618569677831,-116.99421024303906,339
148,seize one-to-one relationships,Natural Hazards,Remote Sensing,2003-08-02,37.71715,-122.40433,29.606326753290332,-111.84212376081534,328
149,drive value-added niches,Land Resources,Hydrology,2012-12-28,42.58342,-71.8023,40.109183968361066,-61.467292083193826,38
150,target ubiquitous convergence,Natural Hazards,Botany,1982-09-19,40.2737,-76.88442,22.756239509383978,-69.49750513379149,304
151,unleash seamless relationships,Environmental Health,Information Sciences,1973-11-21,39.78504,-85.76942,29.279219974191843,-66.21171219077786,56
152,enable leading-edge paradigms,Natural Hazards,Land Use Change,2005-03-05,39.71734,-74.96933,20.89617921752403,-68.01433784085037,26
153,matrix front-end synergies,Water Resources,Geomorphology,2008-09-13,38.91817,-78.19444,18.99335771736702,-67.68918255056434,476
154,innovate integrated methodologies,Water Resources,Marine Geology,1986-09-01,32.9156,-117.14392,23.6161320184721,-107.7750335923601,248
155,morph leading-edge technologies,Energy and Minerals,Climatology,1982-07-23,30.16688,-96.39774,19.637015249040765,-79.41115652225537,79
156,monetize innovative convergence,Energy and Minerals,Environmental Health,2014-07-29,41.27621,-72.86843,35.109843345773946,-53.31673867626573,382
157,benchmark seamless metrics,Land Resources,Mineral Resources,1996-07-18,33.41012,-91.06177,25.179777743327428,-85.22180430571991,455
158,repurpose dynamic communities,Ecosystems,Remote Sensing,1982-06-20,32.9156,-117.14392,18.82024810742808,-100.7445905595809,159
159,integrate B2C e-markets,Environmental Health,Botany,1984-09-04,29.84576,-90.10674,25.714972420724255,-73.39994393910214,330
160,incentivize distributed partnerships,Regional Offices,Aquatic Biology,1983-08-13,29.53885,-95.44744,12.254718386624205,-78.54476883983345,364
161,re-intermediate transparent content,Water Resources,Wildlife Biology,1980-11-03,31.76212,-95.63079,29.250944360938455,-92.65911146625511,365
162,monetize innovative experiences,Environmental Health,Ecology,1983-05-05,42.24113,-88.3162,30.475578902590897,-69.10033306260183,458
163,deploy end-to-end e-markets,Natural Hazards,Geophysics,1996-07-31,47.80527,-122.24064,41.705504050386295,-102.90873359061035,85
164,monetize bleeding-edge users,Regional Offices,Forestry,2019-11-03,40.64621,-73.97069,35.123875281276334,-58.74155591850159,47
165,maximize vertical initiatives,Energy and Minerals,Marine Geology,2000-04-11,41.75338,-86.11084,33.2815474536353,-71.1166759975113,171
166,engage strategic partnerships,Natural Hazards,Volcanology,1987-04-26,36.91023,-121.75689,24.65416450625543,-110.78424917660769,7
167,iterate vertical markets,Environmental Health,Information Sciences,2020-07-13,37.73604,-120.93549,37.158225225195935,-108.94064885258152,481
168,brand dynamic web-readiness,Core Sience Systems,Remote Sensing,1988-01-09,32.9156,-117.14392,20.9050279049599,-106.22543412562236,225
169,architect plug-and-play applications,Regional Offices,Geophysics,2018-02-23,33.50921,-111.89903,15.01053401476527,-103.64016272556927,236
170,deploy vertical e-services,Ecosystems,Mineral Resources,1974-10-09,41.55815,-73.0515,25.490175728817217,-71.17687957469492,31
171,evolve granular ROI,Environmental Health,Forestry,1973-05-07,33.95015,-118.03917,21.041014859868564,-112.62378276462309,486
172,grow viral experiences,Ecosystems,Volcanology,1979-01-21,29.53885,-95.44744,16.154277330732036,-91.12387091242843,388
173,leverage end-to-end interfaces,Core Sience Systems,Ecology,2015-10-10,32.9156,-117.14392,16.612089784650546,-112.59587729865683,335
174,leverage revolutionary infrastructures,Ecosystems,Geochemistry,2004-07-24,44.99012,-123.02621,42.50896148067163,-119.33889884744747,173
175,implement killer deliverables,Water Resources,Planetary Sciences,1997-03-08,41.9001,-71.08977,37.1312447134831,-69.67633870692546,477
176,implement 24/365 synergies,Energy and Minerals,Botany,1986-08-13,26.91756,-82.07842,17.547413399441915,-72.17578266079947,238
177,enhance sticky interfaces,Natural Hazards,Remote Sensing,1980-06-16,33.52253,-117.70755,15.513890570780205,-103.71338831108677,194
178,unleash rich e-services,Core Sience Systems,Aquatic Biology,2017-05-15,34.77453,-96.67834,26.858442717633743,-82.44908942562236,191
179,optimize dynamic infrastructures,Water Resources,Planetary Sciences,1977-09-14,41.54566,-71.29144,36.58524049547134,-61.399396415551536,355
180,revolutionize mission-critical e-tailers,Energy and Minerals,Land Use Change,2001-05-28,34.77453,-96.67834,23.614428634016186,-85.15271790540932,324
181,empower best-of-breed applications,Environmental Health,Ecology,1977-11-16,28.54944,-81.77285,17.720632209167043,-68.86396033673945,248
182,re-intermediate extensible schemas,Core Sience Systems,Botany,2002-01-27,42.55308,-87.93341,27.554649247500066,-84.39292055784162,77
183,incentivize leading-edge paradigms,Energy and Minerals,Aquatic Biology,1983-10-18,28.15112,-82.46148,26.579212462775924,-77.61890297616914,82
184,utilize efficient networks,Land Resources,Seismology,1976-01-20,41.9001,-71.08977,38.72003132660173,-64.59741358079886,309
185,empower global solutions,Land Resources,Botany,1972-06-06,40.72816,-74.07764,38.55556349826053,-68.85992173210911,48
186,aggregate value-added vortals,Land Resources,Wildlife Disease,2012-11-15,43.91452,-69.96533,28.689645204527896,-51.450239388168704,31
187,deploy turn-key niches,Ecosystems,Genetics,1976-06-07,47.92526,-97.03285,35.44405146617334,-89.47133256099302,49
188,strategize 24/365 partnerships,Energy and Minerals,Mineral Resources,2018-06-13,35.25064,-91.73625,20.891390531935514,-85.85929597328933,136
189,seize cross-platform platforms,Regional Offices,Aquatic Biology,1980-08-19,41.75338,-86.11084,39.24992751839116,-75.76073976210178,130
190,visualize collaborative ROI,Ecosystems,Ecology,2009-05-08,28.90054,-81.26367,26.89319088106339,-74.57581851491368,351
191,benchmark 24/365 platforms,Water Resources,Geochemistry,1989-09-13,43.61062,-72.97261,31.611793209684258,-67.966035379373,495
192,implement bricks-and-clicks content,Energy and Minerals,Wildlife Disease,1983-06-02,40.93121,-73.89875,32.09876677085454,-56.56587793048412,301
193,cultivate customized networks,Environmental Health,Botany,1986-04-28,36.61033,-88.31476,31.148865635562224,-79.29205756815695,274
194,reinvent value-added paradigms,Environmental Health,Remote Sensing,1981-03-12,27.71809,-82.35176,12.555395705132966,-69.12931697717607,215
195,scale seamless e-services,Energy and Minerals,Marine Geology,2019-07-24,39.57582,-105.11221,38.2429751116896,-93.374647972437,113
196,syndicate value-added convergence,Energy and Minerals,Environmental Health,1991-11-24,38.58894,-89.99038,25.611551054734104,-84.78533138592692,50
197,utilize best-of-breed web services,Water Resources,Volcanology,1970-11-25,45.53929,-122.38731,44.748769062349254,-106.98378958638983,60
198,harness global synergies,Energy and Minerals,Planetary Sciences,1988-07-24,33.7207,-116.21677,17.03626733265866,-99.03213663486153,280
199,disintermediate leading-edge technologies,Land Resources,Volcanology,1973-11-08,34.14251,-118.25508,19.245789386545248,-107.51771936487225,0
200,envisioneer virtual interfaces,Water Resources,Genetics,1973-05-17,45.0408,-93.263,36.58355962910087,-91.63601090599481,110
201,orchestrate end-to-end action-items,Land Resources,Land Use Change,2014-01-18,33.41012,-91.06177,15.057328419670423,-88.85719419640105,262
202,unleash one-to-one metrics,Environmental Health,Environmental Health,1992-09-22,36.91023,-121.75689,28.61613168221848,-110.78275497200104,124
203,empower robust technologies,Water Resources,Geography,2020-04-08,26.68451,-80.66756,7.231960502828944,-62.34570909189593,399
204,evolve cutting-edge metrics,Land Resources,Energy Resources,1993-08-18,42.58342,-71.8023,35.981226210038805,-63.89268097341952,262
205,grow robust markets,Water Resources,Geochemistry,2000-08-27,43.1009,-75.23266,30.9150611874187,-68.87845065266312,23
206,e-enable B2C interfaces,Environmental Health,Hydrology,1992-07-19,33.03699,-117.29198,19.23940027936338,-103.5595288093113,426
207,engineer rich partnerships,Land Resources,Geography,2010-04-11,39.00622,-77.4286,32.921986186101975,-73.52411741361675,317
208,leverage bricks-and-clicks solutions,Energy and Minerals,Climatology,1991-12-16,36.91023,-121.75689,20.284523964540575,-117.1374504350092,424
209,exploit cutting-edge users,Ecosystems,Botany,2020-06-27,38.06084,-97.92977,31.34421070183719,-80.28567172123732,420
210,seize rich schemas,Core Sience Systems,Planetary Sciences,1978-12-17,32.54044,-82.90375,28.529348610874692,-73.30623116120226,12
211,engage collaborative applications,Natural Hazards,Marine Geology,2000-07-02,32.9156,-117.14392,28.706367129196693,-106.70492959970557,396
212,drive 24/365 niches,Environmental Health,Marine Geology,1984-08-02,41.85059,-87.882,24.170557273241855,-72.7133597223475,264
213,iterate visionary communities,Energy and Minerals,Environmental Health,1989-02-11,40.34912,-111.90466,24.003946729236,-96.92382985071319,233
214,harness killer functionalities,Ecosystems,Botany,2008-07-21,41.16704,-73.20483,25.989995282876155,-56.236205072689884,209
215,enable magnetic e-business,Core Sience Systems,Forestry,1970-07-21,30.5427,-97.54667,11.134755516204205,-89.71595243940943,168
